Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2022-01-03,1668.15185546875,1681.8595288444444,1658.749899209766,1658.749899209766,3329616
2022-01-04,1668.766845703125,1675.3570314082458,1650.1825005622568,1668.151697346698,3921999
2022-01-05,1620.8780517578125,1672.0618238908942,1616.792115448411,1669.5135974739028,6995719
2022-01-06,1597.28515625,1606.2477649878608,1581.6444075372808,1606.2477649878608,6449205
2022-01-07,1594.2099609375,1613.2775227404143,1587.6197749785931,1595.2203703081527,4834389
2022-01-10,1626.23828125,1643.065244799383,1593.0676773774146,1594.8250603640417,7857560
2022-01-11,1630.499755859375,1643.1529335918676,1625.7109305887875,1629.9725624667992,5142287
2022-01-12,1649.6990966796875,1659.848025074008,1634.3659749272922,1642.1863497006073,5362535
2022-01-13,1666.701904296875,1680.497316486841,1639.9456865869017,1673.9071309319909,14277630
2022-01-14,1695.3031005859375,1698.510345401381,1652.8183961200198,1653.6970874523536,7688506
2022-01-17,1704.22216796875,1716.8753470487895,1696.3139444514936,1703.387453946787,5262464
2022-01-18,1687.7464599609375,1709.0547258227377,1679.5745872616628,1688.9326718657662,3690315
2022-01-19,1640.5606689453125,1683.572566076713,1636.8701010507093,1683.572566076713,5747770
2022-01-20,1602.4696044921875,1623.8218502987,1595.2643772820832,1620.3070843889625,5533463
2022-01-21,1569.0792236328125,1588.6740851767383,1560.5559597753802,1577.2510967324367,8252758
2022-01-24,1526.1114501953125,1554.097753202925,1518.3789220393276,1550.89050775429,7116712
2022-01-25,1513.2384033203125,1528.923023226851,1494.214713216816,1517.1485371127924,9137653
2022-01-27,1474.9713134765625,1502.29859365424,1463.0211322868854,1495.5327130043718,11231734
2022-01-28,1481.6492919921875,1517.983264646861,1475.7621029294125,1477.0801399370898,10998502
2022-01-31,1525.583984375,1537.2706230423364,1507.2632899140617,1509.591843604878,8788872
2022-02-01,1557.085205078125,1564.0707591029711,1524.265994070383,1551.856926666537,5119935
