Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-01-03,3341.05615234375,3351.776586595917,3277.3898999482267,3281.765587398091,2346158
2022-01-04,3399.690673828125,3403.5411936720793,3335.7618316314156,3352.7396286772564,2488606
2022-01-05,3378.862060546875,3386.7820975890972,3336.3740925344277,3382.406410124512,1733031
2022-01-06,3332.042236328125,3356.152317218344,3301.0186546408327,3336.024154690046,1810293
2022-01-07,3372.342529296875,3382.3190118461575,3322.372090020068,3343.0254215425102,2460591
2022-01-10,3395.40283203125,3481.297505277228,3378.906402180839,3481.297505277228,3937092
2022-01-11,3426.95068359375,3434.914519917858,3374.5300353638877,3374.5300353638877,1906106
2022-01-12,3377.943115234375,3438.4152013105504,3357.5087830184166,3434.914651347394,3203744
2022-01-13,3411.198486328125,3433.164523752587,3375.405446880889,3428.7888361107916,6684507
2022-01-14,3472.6767578125,3480.421810089149,3378.0745230015314,3393.6520131101706,3348123
2022-01-17,3517.309326171875,3538.1814441457577,3467.5578800152116,3494.1619785500866,3442604
2022-01-18,3492.323974609375,3537.043374991402,3483.0474311642265,3530.2610590136323,2389041
2022-01-19,3431.87646484375,3517.2208806487747,3428.238348399061,3517.2208806487747,3102539
2022-01-20,3354.64208984375,3436.5673581650203,3341.0097453997178,3427.8006047003137,6176776
2022-01-21,3360.734619140625,3376.5586504367925,3306.0301683677976,3337.5027246819773,3112358
2022-01-24,3306.249267578125,3374.8927679681947,3278.8531661989327,3366.4329374751173,3258414
2022-01-25,3304.97802734375,3339.606700640597,3263.160659611942,3304.6274428472343,3330501
2022-01-27,3199.206787109375,3272.9789152761805,3178.0351678763395,3270.8749805316374,5718297
2022-01-28,3234.975341796875,3269.8231807515967,3196.3577567022803,3196.3577567022803,3143862
2022-01-31,3275.478271484375,3294.545960318041,3262.4595569437342,3286.655882179972,2739393
2022-02-01,3331.935791015625,3338.3794398855766,3275.609404720287,3305.065779508567,2105169
2022-02-02,3380.63525390625,3387.473364062477,3331.9358981149344,3355.825300074226,1984212
2022-02-03,3352.932373046875,3403.691786320848,3345.436756570653,3376.076514905753,1960538
2022-02-04,3344.428466796875,3353.0199274159713,3304.189156735994,3344.7792653309098,2307366
2022-02-07,3312.9560546875,3359.244554675045,3292.92393788928,3323.476158592303,1919149
2022-02-08,3281.789794921875,3331.1027758277814,3262.108479126725,3323.95795842934,2946443
2022-02-09,3296.78125,3312.0353141804735,3284.1133350757727,3287.532283037312,1638721
2022-02-10,3305.373046875,3322.424339911823,3294.5460205082395,3322.424339911823,2112459
2022-02-11,3239.271240234375,3289.723944738236,3234.9317404621156,3289.723944738236,3851488
2022-02-14,3273.286376953125,3325.4485569139447,3252.4653387334697,3264.738792841898,5951745
2022-02-15,3346.970947265625,3362.0497193674596,3285.7789695408705,3319.092630384668,3931683
2022-02-16,3342.8505859375,3378.7942723116603,3336.626105855008,3369.939766396913,3256906
2022-02-17,3317.5146484375,3362.0497967656042,3312.9559796550766,3353.283043710153,3134372
2022-02-18,3326.01806640625,3345.348798016269,3294.1949268123303,3304.1889388122663,3688883
2022-02-21,3260.705322265625,3355.73703271796,3248.5635003973875,3340.132172935638,7465922
