Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2022-01-03,711.0422973632812,712.6097466433577,692.7240511526534,694.8295953810808,9069184
2022-01-04,715.2066040039062,717.2419519918268,705.4977056629859,711.2060471421149,8857352
2022-01-05,732.1912841796875,735.5367713761124,714.9960066045779,719.066759647386,14332638
2022-01-06,720.4470825195312,727.4655635961949,715.9084876032401,721.967753419475,9628930
2022-01-07,725.5003051757812,733.0802407785765,718.6455782411249,722.4355460425224,11179384
2022-01-10,729.5242919921875,735.536779049019,723.137463117213,728.9861970473102,8856496
2022-01-11,732.6825561523438,733.9926381894911,724.2136014478044,730.6472083128816,8389198
2022-01-12,728.3546142578125,737.7125894331506,726.1788736062368,733.6652537465073,21085530
2022-01-13,714.9492797851562,727.5825458546584,711.3932607592723,727.5825458546584,41963896
2022-01-14,722.9736938476562,724.634699976791,710.7381313157847,715.8850170593487,11208968
2022-01-17,711.9078979492188,728.0504036864833,710.8083473875251,715.8850370439071,22989372
2022-01-18,715.5341186523438,725.664137379117,712.6097516478794,717.2887388550224,12341152
2022-01-19,710.4808349609375,720.4471011947609,708.0945627563246,717.7566833789662,14317626
2022-01-20,706.0592041015625,715.183229601881,701.8948938601593,715.1598118180823,15197846
2022-01-21,711.9547119140625,715.791515854972,695.1103572609701,701.8481105455162,11537694
2022-01-24,695.6016235351562,711.790907358927,686.6647696631117,706.5036291281489,11868508
2022-01-25,696.2567138671875,699.5085871279545,675.6457523831212,682.5004800615633,13594248
2022-01-27,690.1271362304688,694.8295408179733,671.4346067836982,678.4530869939807,28617838
2022-01-28,684.65283203125,695.6250346492707,683.1321611246369,691.3203890833227,24925208
2022-01-31,695.1571044921875,697.8943576936214,686.3138643897004,689.0978389232178,12842546
2022-02-01,700.4443359375,709.8023096975201,689.4252989884608,705.8251708495114,14739484
2022-02-02,716.446533203125,718.2245712750496,704.4683367927917,707.439482390718,13969290
2022-02-03,709.0302734375,720.5405698688631,706.0591281584843,715.3001273507508,10564762
2022-02-04,713.07763671875,717.2185288944974,708.4454280490403,715.1364024737923,11579958
2022-02-07,686.9454956054688,710.7381333465257,683.1321097339879,707.5096208566665,12268042
2022-02-08,683.997802734375,691.7649108616467,675.9031883160477,690.8057526569561,13981130
2022-02-09,700.7250366210938,701.7076124045794,686.407348745417,689.6826394347271,11308342
2022-02-10,713.5923461914062,718.4585044373451,702.6201437504593,708.3986816790235,14314530
2022-02-11,710.66796875,713.5455573389709,701.614139822811,701.965063867404,10711104
2022-02-14,689.5423583984375,701.5907510950923,687.4836496114692,697.1691307967247,14656620
2022-02-15,710.1767578125,713.4988275713342,689.2382883898335,690.6185668794573,13135066
2022-02-16,709.2174682617188,718.1075437339092,705.1233545574205,717.9203728269758,10032264
2022-02-17,704.8894653320312,712.1418959411561,702.7839209616402,707.9775856519622,7351208
2022-02-18,707.6265869140625,709.8023272905024,697.3795939695534,701.0526444546318,7796128
2022-02-21,712.1885986328125,716.2125160226459,699.7659224389105,703.7196436005554,7468066
2022-02-22,706.8545532226562,712.1886099012698,696.209857647376,697.0755159478297,9536196
2022-02-23,702.2692260742188,713.873080486644,699.8127577039627,713.592352667638,9029562
2022-02-24,664.1354370117188,690.1271759497945,658.4036778434378,678.4063475939694,23630766
2022-02-25,681.3073120117188,685.8927422957805,670.4286668157401,673.7507362909885,18318654
2022-02-28,667.3405151367188,673.0956919438478,661.6321738924195,667.2235404627246,24880832
2022-03-02,643.0098266601562,654.3095923595013,633.7220483369093,648.7415860755369,38505560
2022-03-03,641.4891357421875,651.3150087185448,637.699167588901,646.1681228737863,17527922
2022-03-04,639.3836059570312,648.5076310694807,625.5338151583654,636.3422642528815,21219364
2022-03-07,619.872314453125,623.4049159030243,606.8881235623637,616.9245293502244,27054458
2022-03-08,621.27587890625,624.176827823131,604.5250836188045,609.2976272218118,39212492
2022-03-09,641.5592651367188,643.2202711254723,617.0881421411699,622.3052236727108,23134694
2022-03-10,651.642578125,667.6915283883826,645.8172614282165,667.6915283883826,22273206
2022-03-11,653.5609741210938,659.2458980426811,642.284568944958,649.4434424176493,15150780
2022-03-14,674.96728515625,678.4531075865442,662.0766532654897,662.0766532654897,25018126
2022-03-15,666.2877807617188,678.219198184067,660.5560214117672,675.4118058493968,18867928
2022-03-16,677.5875854492188,680.7926804596888,671.9961611232817,677.0494904640341,13364108
2022-03-17,692.5135498046875,697.075562498746,688.0685117950921,688.7469421183597,14823954
2022-03-21,695.5314331054688,698.8769203085982,689.1212436187219,695.765382460701,12257876
2022-03-22,699.1109008789062,700.912299571318,681.8220084853747,693.0984136042903,10461814
2022-03-23,692.13916015625,710.6445768066046,689.4955210466934,705.1233492347262,31188256
2022-03-24,675.01416015625,687.647426725265,671.2241916088551,685.9395848213293,20160044
2022-03-25,669.5162963867188,679.3889480514861,663.948290141225,678.9210493269327,16366462
2022-03-28,670.4052734375,672.8383238063171,655.8067998749772,669.5162544931684,15754886
2022-03-29,679.29541015625,683.2491316427125,669.0951948290217,674.2420809430911,12377448
2022-03-30,691.06298828125,693.7768236906089,680.3481533388308,688.7469124751822,20109742
2022-03-31,687.974853515625,694.6891885485168,685.8927271127579,688.2789990989702,14295714
2022-04-01,704.6553955078125,706.5269901837961,687.9514358712739,690.8056063288415,14568556
2022-04-04,775.2146606445312,805.7684143080922,731.1152040942818,739.2800143171792,97450970
2022-04-05,752.4981079101562,779.8467649375319,749.573740943305,779.8467649375319,30922582
2022-04-06,725.6406860351562,743.8653746340015,724.0030405883982,742.8827416727144,27027860
2022-04-07,709.6854858398438,721.1957845873989,708.2583716915509,721.172423917958,40781732
2022-04-08,708.7026977539062,713.896361317078,700.584667644294,707.5095333563448,41256322
